Id,Name,Email,Age,Address,Phone,MonthlyIncome,EmploymentStatus,EmploymentDuration,NumberOfDependents,MaritalStatus,EducationalBackground,HomeOwnershipStatus,Nationality,Dob,Sex,IdNumber,DocumentNo,Height,PlaceOfIssurance,Tin,BankName,AccountHolder,AccountNumber,Network,MobileNumber,LoanAmount,LoanStatus,LoanTerm,LoanPurpose,NumberofPreviousLoans,NumberOfRepaidLoans,NumberOfDefaultedLoans,NumberOfLatePayments,AverageLoanAmount,TotalAmountOwed,AverageInterestRateOfPreviousLoans,TimeSinceLastLoan
78,Jennifer Kenneth,Jennifer Kenneth@test.com,88,East Legon,0163115710,6000,true,59,32,true,rvUgyRjDOdZwCOaJSDhheQbtH,false,Nigerian,uCCmWrvHmtnUZXnWQiIpMeAqe,Female,GHA6964772297,2407339,28,Kasoa,3550731406,Standard Chartered,Jennifer Kenneth,0611021109912211110,Mtn,5015885049,5500,true,13,RPBMWUTfQhRsxPFYiyjkaNhwP,98,83,53,27,1000,9000,83.627190,80
60,Robert Jennifer,Robert Jennifer@test.com,39,Tema,5542207796,2000,false,68,44,false,FVptAWvFfQYULuWxdEvjpggty,true,Nigerian,DokeIOjvbZdXKdOtHvTmOCuID,Female,GHA4271449956,4642422,63,Weija,4665100450,Stanbic Bank,Robert Jennifer,08111334121283708,Mtn,9440015858,3500,false,74,qGYZrtuLmlBRdknCgvJDRZTQV,13,8,75,20,4500,3000,7.130731,71
25,Joseph Barbara,Joseph Barbara@test.com,95,Legon,8100840220,750,false,72,78,false,NgDrAgwUixQJkLPFtfhAJPVIw,false,Ghanaian,mepiDjtfPKIBZqfhAogxkVPfF,Female,GHA1499864353,1191939,47,East Legon,4360652631,ABSA,Joseph Barbara,111813157227511119,Mtn,8410666246,750,true,56,RpSGcAbDBjvsJDnHDlxuywNPQ,56,17,71,54,9000,8000,30.888103,46
77,Barbara Joseph,Barbara Joseph@test.com,72,East Legon,8067958242,8500,true,52,85,true,OShueelyeVhuYPfnsiUJLfqyA,true,Ghanaian,lXsCMLbooHYvFGIiMWYmiqiTD,Male,GHA4800749489,8913332,9,Kasoa,4499202615,EcoBank,Barbara Joseph,131132851165132579,AT,5941863174,900,false,94,BxmdfRYVXiDrFRnCrbfSFGOjU,41,21,16,44,6500,3000,66.474747,72
60,Daniel Michael,Daniel Michael@test.com,11,Tema,8719621026,9500,true,53,30,false,lnNjGqhOkqkKEAnSBVOuOXBxM,true,Ghanaian,aDlvslAtEfdgLriAyMldycjFZ,Male,GHA7478816020,8441191,39,East Legon,1530777992,Stanbic Bank,Daniel Michael,10776512115132121121,AT,5311750890,2000,false,64,RcGAjuNyrujAqAtXdhoEhkYSi,26,80,37,1,9500,5500,74.761551,45
51,Thomas Andrew,Thomas Andrew@test.com,53,Weija,9451215469,5500,false,32,21,true,XkWwJmQGeWtBXdWkqywpXFqcq,false,Ghanaian,hQdTAsfNmjtDGbFjEZOiLkuTe,Female,GHA7760904028,8933825,4,Tema,7929670570,EcoBank,Thomas Andrew,0748105720910250,Vodafone,8281865340,7500,true,64,XYatHiwkgfAPksxxZCUvIcmBU,95,95,51,13,7000,8000,82.833549,95
71,Barbara Matthew,Barbara Matthew@test.com,28,Legon,7920608241,8000,true,13,76,true,nbdZIocghiVIounAdVHXgIMhq,false,Nigerian,NMoVFDWUeYYbcpSLZuYZBpHZV,Female,GHA8574478113,8020571,25,Kasoa,5882612283,Fidelity Bank,Barbara Matthew,312601071113127461013,Mtn,3569455721,750,true,61,tRINetlIJgkNkXmipjrvYBAty,16,87,79,60,3500,5500,96.313469,80
1,David Richard,David Richard@test.com,77,Weija,9524215544,4000,false,23,28,true,thdNqKFsRJGYDtPaEvlpEMFXl,true,Ghanaian,xDTHQVdDCXnOuvVKwyarlrkIr,Female,GHA6889350568,1567931,76,Tema,7050594529,Fidelity Bank,David Richard,13976121591260159,Mtn,5726723246,6500,true,61,CwoaJFgAbvDKDaPDDgKYZBKQc,64,19,66,92,2500,5000,14.247829,75
19,James Paul,James Paul@test.com,19,Legon,9938834538,750,false,27,83,false,KjDYyQOijMMhkKnQkKQbfXngL,false,Nigerian,XuQmExrfxTQogYxmSbbSyAMYa,Male,GHA7613865521,0926840,68,Kasoa,7075817794,EcoBank,James Paul,1027061287121047,Mtn,9057299509,7500,true,34,igCsNJuuounCjDbchNmJwlITu,81,85,87,86,4000,2000,45.842541,34
43,Richard Linda,Richard Linda@test.com,54,Kasoa,1993335230,1500,false,53,33,true,RLFjxPmoNECSfKRaUHALMiBCO,false,Ghanaian,gDmSuBxTDSTBcnUqdYtfwmUXJ,Male,GHA3471816970,3387100,16,Kasoa,5505239888,EcoBank,Richard Linda,610081251111533231,Mtn,1771295705,3000,true,13,GKllKptkXwybkVjQYIWhXZkyc,43,76,84,21,7500,7000,97.980995,43
10,Barbara Andrew,Barbara Andrew@test.com,78,Weija,1854178220,4500,false,73,48,true,vnBXostKtsYkAShOZkaxxkCmj,false,Nigerian,sFbECZufxVSDEguEVcdenoEpM,Male,GHA2287093234,6087830,58,Weija,6454695089,Fidelity Bank,Barbara Andrew,10107290528430011,AT,6419115555,9500,false,78,uLWqdmkywNWeFWpYuoUQWqiif,77,34,56,84,900,1500,39.529308,28
27,Mark Robert,Mark Robert@test.com,23,Tema,7779572411,750,true,60,23,true,jJCrGsvwBFljMErWqVeKohuVa,true,Nigerian,OdBVNLjlknNaxmOOdsUTHKfJD,Female,GHA0614283631,6996647,66,Kasoa,9412529952,EcoBank,Mark Robert,12821131266126256,Mtn,4883054461,5000,true,71,IePyWadfYjsrSrljGckorntOr,89,12,97,65,8500,3000,42.523518,21
39,John Mary,John Mary@test.com,52,Weija,0062084289,6000,true,99,84,true,sKiiPbLTIXbVeOATsAKvCDPcK,false,Ghanaian,CaOCjBOBiVjpUCjqmLjcDfLWr,Male,GHA3834459445,8586400,2,Legon,0540913362,Standard Chartered,John Mary,10111210131391131111587,AT,4622480410,6000,false,47,TaEfdiZBipcBBrIjSfBkakwCw,20,33,82,32,2000,6000,71.433144,30
37,Linda Charles,Linda Charles@test.com,25,Kasoa,6779600897,10000,true,85,29,false,fWcgTkmLrdlHHrbitSDADayDT,true,Ghanaian,PEYwGxCxqpWFmZehJPimKwNoW,Male,GHA7154224278,0885235,50,Kasoa,0329631776,Stanbic Bank,Linda Charles,1061366906612226,AT,8693725565,7000,false,28,IjETQcAktCXQjPcdHQPmEyqLT,67,96,28,36,6500,7000,65.122391,47
96,Kenneth Susan,Kenneth Susan@test.com,95,Tema,8664692614,750,true,51,90,true,BQtyOLnqPZxvtrttctZMOycoU,false,Nigerian,vfOURtolXFVASBpQOyqoeULZU,Male,GHA0468089348,6105467,95,Kasoa,8239953707,Stanbic Bank,Kenneth Susan,86891311760123856,AT,0317458940,5000,false,63,AsLgukMjknfmbesLETRXOLQNu,77,81,88,7,9000,1000,12.115007,71
48,Daniel Paul,Daniel Paul@test.com,68,East Legon,5369360998,9500,false,25,0,true,FyXrSTEAFfvMWKHAjttpFKtac,false,Ghanaian,IFASidiggEopuyNWQlckfCJKU,Female,GHA0554042091,5794776,46,Weija,6837213319,ABSA,Daniel Paul,333122127013371,AT,2306924727,6500,true,32,oienxdsLFcoAYCfBYVJUKliue,59,3,77,0,7500,3000,0.476750,9
33,John Matthew,John Matthew@test.com,82,Weija,6916121270,750,true,3,14,true,RUEomYfHBCwKwmWZbjyVxcYxF,true,Nigerian,ivXfvIKwOEgrOEBAXmTSTAiNf,Female,GHA4200822812,9891754,60,East Legon,0475773819,Standard Chartered,John Matthew,138911108061097565,AT,1899212349,6000,false,45,HlehLROMtkOwALpxtLkNqEXeI,63,0,12,38,9500,7500,17.760460,94
22,Andrew Steven,Andrew Steven@test.com,39,East Legon,2377346233,1500,true,36,9,false,ilfnoJSLuxKuhNMNFCRXHXgGK,false,Ghanaian,hXMWVROpuAJWLwRWVvPdYnjvs,Female,GHA3459029508,8321305,52,Legon,6470913398,Stanbic Bank,Andrew Steven,67041313281541227,Vodafone,7558701479,5000,true,36,rAArbFQdryRWSHMJdaPItPWTi,10,34,48,63,8500,4500,41.307884,65
79,Susan James,Susan James@test.com,20,Weija,4695301245,5000,false,1,13,false,hASAAwihHWghDQNOPGRvHaHoy,true,Ghanaian,kQYgKEaqUcWrTRaNhWHFYCPFe,Male,GHA9188095082,3586450,8,Weija,1743699315,EcoBank,Susan James,9112413128864121274,Mtn,1917860740,900,false,74,SvAfMQakifADHIKPkOnGaflvl,27,27,46,40,900,2500,14.028101,94
15,David Andrew,David Andrew@test.com,80,Tema,4127808423,5500,true,60,71,false,PcxwJEVDSNnpTvmBqRqPbPeKp,false,Ghanaian,XKuhTFkZIGihfuBjthNtdhZRy,Male,GHA3817300916,0459092,13,Tema,6580550806,Stanbic Bank,David Andrew,281271690029661,Vodafone,1715437227,9000,false,66,mVAovrpdbKhGEymiPfxSjxXWZ,19,94,31,60,6000,900,15.427097,30
86,David Paul,David Paul@test.com,20,Kasoa,3161223035,8500,true,89,55,true,XZsRfBtJExhodNpKkNqEIMIdi,false,Nigerian,ICxZEaaNPFcyjdgxLQLwvNfXd,Female,GHA2273834674,1731228,61,East Legon,6917097452,Stanbic Bank,David Paul,11101381232101721263,Vodafone,6193035777,8000,true,51,ljsUSvFkGBrXEaKwVjttTtfxP,39,46,2,14,9500,7000,51.026974,75
81,Thomas Patricia,Thomas Patricia@test.com,96,East Legon,0065974727,3000,false,52,21,false,pusVBKNSAwugOltxMPIfJIRCX,false,Ghanaian,QUqNAuKyqTPFCilyCbuAHYmfN,Male,GHA9445511382,3820636,72,Weija,1197926713,Fidelity Bank,Thomas Patricia,7460210665129136,Mtn,0198145377,3500,false,45,GWmprctlGWmAgZZEgqwPCPyKU,54,30,26,52,5500,4000,38.004681,86
20,Mary John,Mary John@test.com,75,Weija,0868601446,2000,false,52,55,true,yRXshRNtrbKTYKSWeoTcjqpbA,false,Nigerian,bpEpdatSSpKHvmaQlIIwaehVq,Female,GHA6393875886,1216481,42,Weija,0614501482,Standard Chartered,Mary John,127513507431241148,AT,5537410433,750,false,56,HjdjqcDmhcinvdgTSsRvLSjDR,30,96,13,21,4000,6500,32.786842,38
21,Donald Michael,Donald Michael@test.com,63,Kasoa,5112054484,4000,true,92,31,false,MrhiSbSInosUsRlymoxIsfJOj,true,Ghanaian,XuxvOoMNjpYnObDyfwVaqQeXX,Female,GHA2638081839,3746141,56,Legon,9892384499,Fidelity Bank,Donald Michael,921061000110613563,AT,1883844573,6500,false,75,uxWnPcvYpLxyUKwioYJhAcGZS,46,39,16,62,6000,1000,48.810379,24
99,Christopher Matthew,Christopher Matthew@test.com,52,Kasoa,5690777305,2000,false,26,56,true,hYJCoWZeOrtyRDDHYIxeeLckW,true,Ghanaian,PfKUlDMjOsYMAWQCAeTCPYXCh,Male,GHA4680651454,6432533,60,Tema,4308136366,EcoBank,Christopher Matthew,4542111011870413134,AT,5103474897,4000,false,19,fhMXitOlhmvuqLjcPFhnhkAiw,78,82,43,57,1000,4000,68.793785,62
41,David Charles,David Charles@test.com,29,Weija,1116753939,2500,true,76,57,false,auYmlsHFDluWovDtTWBcdSWmb,false,Ghanaian,YUhfaOrQInWpeDbGWSxmMKbaT,Male,GHA2446351756,3748070,88,Legon,4524551108,Fidelity Bank,David Charles,68057512781216211,AT,5930778846,5000,false,31,QvPeHfRdQOMDnBPDjdciGRYpe,34,7,26,30,8000,5000,74.762169,17
33,Patricia Barbara,Patricia Barbara@test.com,29,Tema,7785543741,10000,false,71,80,true,ZSaxVOXfqaCrfwfAeSHxNOZtP,true,Ghanaian,MmULFmAGkrdkeTSiMQwIrySVI,Female,GHA2146193602,3187397,34,Weija,6580427332,Stanbic Bank,Patricia Barbara,10305903086811124,AT,8562566094,3000,true,41,yvUhJWFghXuIbovXvtBMcVXsF,88,37,60,12,4500,750,56.964214,18
45,Kenneth Jennifer,Kenneth Jennifer@test.com,70,Kasoa,1025192565,3500,false,51,18,false,qYVfGVELQughGnouQJsEYIbli,false,Nigerian,QEshsoHYqymqFGJRkZJsQBDkL,Male,GHA3369399694,3084275,90,Legon,7721800827,EcoBank,Kenneth Jennifer,4100843413101351236,Mtn,8167717309,8000,true,73,AShMvwagNxGsvQWGrGLrcZqfN,24,68,18,90,4500,2500,56.107937,28
0,Joseph Patricia,Joseph Patricia@test.com,24,East Legon,8766049529,9000,false,63,15,false,aLhShGfINaPuWunTfIdNTtEhu,false,Nigerian,CXLDSmFSwhfsTHjfaJSfWtFwF,Female,GHA1881329293,9718658,23,East Legon,1155696578,Fidelity Bank,Joseph Patricia,12791245718711711,AT,6233799279,3000,true,61,PKfSdxNyCCpJGnwZfQEKHJGBi,73,7,89,32,9500,6500,82.051651,81
88,Elizabeth Steven,Elizabeth Steven@test.com,3,East Legon,2209298221,2500,false,39,86,false,JWwuWXECFOoRNNtisLGDrkuVx,true,Nigerian,eVnaIWbpceIMhGjkctlsCCQiI,Male,GHA5649603720,3371568,56,Tema,2210698691,Standard Chartered,Elizabeth Steven,8591812111121189611,Vodafone,1934919692,9000,false,14,ZgPkWoOAIKrTTndQjqtvhVoXG,62,60,7,29,5500,5500,35.849110,32
57,Susan Paul,Susan Paul@test.com,33,Legon,2676268944,8500,false,11,69,true,uyiTrHFccLGGwDURTATanRsTy,false,Nigerian,cOsaoHxTHmuublnXVdoaentQi,Male,GHA9019610609,5941685,91,Legon,0174688641,Stanbic Bank,Susan Paul,10131930139177111,AT,2433806471,6000,true,60,VjkLFenaMUqalvOCOhYwLicPh,42,85,39,87,6500,4500,12.514086,58
87,Thomas Thomas,Thomas Thomas@test.com,78,East Legon,8001688382,7500,false,77,55,false,dufTUkfYFvbRTCoageQKxJciJ,false,Nigerian,ZnvsKnhuOvrbbmLpuYPxUNlgW,Female,GHA8003712771,0666101,21,Legon,3916961280,Standard Chartered,Thomas Thomas,102757843136741112,Mtn,5295582921,9000,true,44,XJxvySSTTRxVshZdLWKRnXCwb,5,40,52,13,9000,7500,22.632902,77
67,Patricia Barbara,Patricia Barbara@test.com,49,Weija,1676595267,4000,true,29,60,true,oBHspYbqtqCTwKhNtGoiZLcmx,true,Nigerian,tlEpVeHvGGiYARtdDdbbLGJQf,Female,GHA7681596700,6375705,76,Kasoa,5287277348,EcoBank,Patricia Barbara,38211461082112503,Mtn,8898851569,3500,false,53,rtFmPMmerIXYxKWsdercklvpl,94,65,33,78,900,5500,61.971760,60
66,Charles John,Charles John@test.com,1,Weija,8578057317,3500,true,70,58,true,clPUAFYLoqxmiWlPerWBkQPfP,true,Ghanaian,XBUvdppQjBwhtmktaeBXyusTk,Female,GHA2846660577,0977837,51,Kasoa,1029324717,Fidelity Bank,Charles John,7110119505461259,Vodafone,1592424950,9500,true,21,NoohBsXFaTaqDduVNjbCNbPGo,19,29,14,84,2500,6000,57.069595,53
88,Susan Paul,Susan Paul@test.com,47,Tema,9164223984,8500,false,20,80,false,bixpRDJsrcvcJYOKNkYQqifgD,true,Ghanaian,WMfxDLlSKnJDqTMJhCLRjVoCx,Female,GHA3427795792,9923639,28,East Legon,5413841177,ABSA,Susan Paul,12761076587123943,Vodafone,3119035699,9500,false,4,TBJqPGMQRBfHDZQxkUneyvOOI,57,69,58,6,6000,1500,79.558624,81
89,Barbara Richard,Barbara Richard@test.com,48,Tema,3004547219,900,true,57,93,true,cLGcsrjeeUVZKZywurKlBDheo,true,Nigerian,iAseTfSKSYPURehLULcfRFXsE,Male,GHA3541993021,4562820,14,Legon,7623280193,EcoBank,Barbara Richard,31167031114691102,Mtn,9400059355,6000,true,33,CHtTaGTrVsdjeMLoPilPhiweh,49,76,57,10,7000,4500,83.959442,86
64,Paul Michael,Paul Michael@test.com,39,Kasoa,5346586953,6000,false,14,37,true,bBcsNDkmQYlLwKwFVdAAGmuHu,true,Ghanaian,fGCNMILfiYekDVZefWpaFeKrx,Male,GHA5702119685,8982900,31,East Legon,6638940518,Fidelity Bank,Paul Michael,7110101037548136108,Vodafone,5901015599,2500,false,96,hhUknfAuvartKaIfcIeOGhFaO,32,24,37,8,5000,5000,4.414865,89
85,Barbara Donald,Barbara Donald@test.com,56,Weija,0191978103,1000,false,75,46,true,skvXykNcnNRkmeDlNsGfZyGwE,false,Ghanaian,MuvxQEPNdaZgeWhbvAfRYhKRo,Female,GHA9100797838,2278329,13,Tema,5230038655,ABSA,Barbara Donald,311623320291633,Mtn,6785657390,3000,false,78,TLIfnQmbkQKvcBdWJruOREfMi,20,6,71,57,2500,7000,52.347271,57
85,Thomas Jennifer,Thomas Jennifer@test.com,2,Kasoa,1820620196,9500,true,30,84,true,rwcAcCjFTaFbqofdFHThZkGcP,false,Nigerian,RKCgQjnjpwamnRUSEZVCovRdm,Male,GHA6516931788,3007629,92,Legon,6477285039,EcoBank,Thomas Jennifer,7128912104391013943,AT,8874421657,4000,false,87,DbrTshCXiJItthNJHsdVnmOVR,43,9,34,47,5500,6000,75.615936,55
36,Donald Steven,Donald Steven@test.com,88,Legon,3473738061,10000,true,15,77,true,KKekqWbxoYbRqfeKgKtijHVoO,true,Ghanaian,FvjvdnjbwkittqjquivKGHOfp,Male,GHA2185626614,5198709,36,Kasoa,7581797337,Fidelity Bank,Donald Steven,10133111142322697,AT,0185092320,4000,true,56,sYhhyuxbNhEyCtNFYVDUCQjjl,92,23,31,22,5500,4500,7.606973,81
88,Patricia Jennifer,Patricia Jennifer@test.com,22,Weija,6872067121,3000,false,83,6,false,HNvdqGTsfjRxgXWqOXHAbTbRB,true,Nigerian,NJDEXOvMJfifGVyqbbvfWQUdj,Male,GHA4899756428,4557673,93,Legon,1307633650,ABSA,Patricia Jennifer,10611586774132463,Vodafone,4358685248,3000,false,90,YfaJauDbyTgSJeRAfOfCOHRdW,60,11,42,96,750,9000,22.775124,92
